projectName,presetName
mgonzalezcx/CxUtils,OWASP TOP 10 - 2021
demotest,OWASP TOP 10 - 2021
MGL/MGL/webgoat,OWASP TOP 10 - 2021
BB-OnPrem,OWASP TOP 10 - 2021
Bitbucket Test,OWASP TOP 10 - 2021
MiguelGonzalez0411/TFS check/JVL.git,OWASP TOP 10 - 2021
MiguelGonzalez0411/LetsGo/JVL,OWASP TOP 10 - 2021
mgonzalezcx/WebGoat,OWASP TOP 10 - 2021
mgonzalezcx/NodeGoat,OWASP TOP 10 - 2021
Repo Project,OWASP TOP 10 - 2021
